Program,Certificate Type,Type,Filename,URL,Status
Information Technology Support,CCC,Course List,Information_Technology_Support_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66044.pdf,Downloaded
Information Technology Support,CCC,Course Sequence,N/A,https://www.mdc.edu/itsupport/,PDF not found
Intelligence Studies,CCC,Course List,Intelligence_Studies_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66075.pdf,Downloaded
Intelligence Studies,CCC,Course Sequence,N/A,https://www.mdc.edu/intelligence-studies/,PDF not found
Intermodal Freight Transportation,CCC,Course List,Intermodal_Freight_Transportation_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/68011.pdf,Downloaded
Intermodal Freight Transportation,CCC,Course Sequence,N/A,https://www.mdc.edu/intermodalfreight/,PDF not found
International Freight Transportation,CCC,Course List,International_Freight_Transportation_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/68010.pdf,Downloaded
International Freight Transportation,CCC,Course Sequence,N/A,https://www.mdc.edu/internationalfreight/,PDF not found
Internet of Things (IoT) Applications,CCC,Course List,Internet_of_Things_IoT_Applications_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66057.pdf,Downloaded
Internet of Things (IoT) Applications,CCC,Course Sequence,N/A,https://www.mdc.edu/internetofthingscertificate/,PDF not found
Lean Manufacturing,CCC,Course List,Lean_Manufacturing_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/68001.pdf,Downloaded
Lean Manufacturing,CCC,Course Sequence,N/A,https://www.mdc.edu/leanmanufacturing,PDF not found
Lending,CCC,Course List,Lending_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65080.pdf,Downloaded
Lending,CCC,Course Sequence,N/A,https://www.mdc.edu/lending,PDF not found
Logistics and Transportation Specialist,CCC,Course List,Logistics_and_Transportation_Specialist_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/63019.pdf,Downloaded
Logistics and Transportation Specialist,CCC,Course Sequence,N/A,https://www.mdc.edu/transportationlogisticsspecialist,PDF not found
Mechatronics,CCC,Course List,Mechatronics_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66053.pdf,Downloaded
Mechatronics,CCC,Course Sequence,N/A,https://www.mdc.edu/mechatronics/,PDF not found
Medical Coder/Biller,CCC,Course List,Medical_CoderBiller_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/63020.pdf,Downloaded
Medical Coder/Biller,CCC,Course Sequence,Medical_CoderBiller_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CCC_MedicalCoderBiller.csg.pdf,Downloaded
Mental Health - Neuroscience and Aging,CCC,Course List,Mental_Health_-_Neuroscience_and_Aging_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65079.pdf,Downloaded
Mental Health - Neuroscience and Aging,CCC,Course Sequence,Mental_Health_-_Neuroscience_and_Aging_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CCC_MentalHealth-NeuroscienceandAging.csg.pdf,Downloaded
Microcomputer Repairer/Installer,CCC,Course List,Microcomputer_RepairerInstaller_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66032.pdf,Downloaded
Microcomputer Repairer/Installer,CCC,Course Sequence,N/A,https://www.mdc.edu/pcrepair/,PDF not found
Network Server Administration,CCC,Course List,Network_Server_Administration_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66035.pdf,Downloaded
Network Server Administration,CCC,Course Sequence,Network_Server_Administration_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CCC_%20NetworkServerAdministration_csg.pdf,Downloaded
Network Systems Developer,CCC,Course List,Network_Systems_Developer_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66034.pdf,Downloaded
Network Systems Developer,CCC,Course Sequence,N/A,https://www.mdc.edu/networksystems,PDF not found
Oracle Certified Database Administrator,CCC,Course List,Oracle_Certified_Database_Administrator_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66048.pdf,Downloaded
Oracle Certified Database Administrator,CCC,Course Sequence,N/A,https://www.mdc.edu/oracledbacertificate/,PDF not found
Paramedic,CCC,Course List,Paramedic_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/63008.pdf,Downloaded
