Major,Degree Type,Type,Filename,URL,Status
Teaching Secondary Biology,AA,Course Sequence,Teaching_Secondary_Biology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary Chemistry,AA,Course List,Teaching_Secondary_Chemistry_Course_list_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary Chemistry,AA,Course Sequence,Teaching_Secondary_Chemistry_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary,AA,Course List,Teaching_Secondary_Course_list_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary,AA,Course Sequence,Teaching_Secondary_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary EarthSpace,AA,Course List,Teaching_Secondary_EarthSpace_Course_list_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary EarthSpace,AA,Course Sequence,Teaching_Secondary_EarthSpace_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary EnglishForeign Languages,AA,Course List,Teaching_Secondary_EnglishForeign_Languages_Course_list_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary EnglishForeign Languages,AA,Course Sequence,Teaching_Secondary_EnglishForeign_Languages_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary Mathematics Education,AA,Course List,Teaching_Secondary_Mathematics_Education_Course_list_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary Mathematics Education,AA,Course Sequence,Teaching_Secondary_Mathematics_Education_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary Physics,AA,Course List,Teaching_Secondary_Physics_Course_list_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary Physics,AA,Course Sequence,Teaching_Secondary_Physics_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary Social Science,AA,Course List,Teaching_Secondary_Social_Science_Course_list_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary Social Science,AA,Course Sequence,Teaching_Secondary_Social_Science_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary Vocational Business Technical Home,AA,Course List,Teaching_Secondary_Vocational_Business_Technical_Home_Course_list_2025.pdf,N/A (existing file),Already Exists
Teaching Secondary Vocational Business Technical Home,AA,Course Sequence,Teaching_Secondary_Vocational_Business_Technical_Home_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Accounting Technology,AS,Course List,Accounting_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Accounting Technology,AS,Course Sequence,Accounting_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Animation Game Art,AS,Course List,Animation_Game_Art_Course_list_2025.pdf,N/A (existing file),Already Exists
Animation Game Art,AS,Course Sequence,Animation_Game_Art_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Applied Artificial Intelligence,AS,Course List,Applied_Artificial_Intelligence_Course_list_2025.pdf,N/A (existing file),Already Exists
Applied Artificial Intelligence,AS,Course Sequence,Applied_Artificial_Intelligence_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Architectural Design and Construction Technology,AS,Course List,Architectural_Design_and_Construction_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Architectural Design and Construction Technology,AS,Course Sequence,Architectural_Design_and_Construction_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Aviation Administration,AS,Course List,Aviation_Administration_Course_list_2025.pdf,N/A (existing file),Already Exists
Aviation Administration,AS,Course Sequence,Aviation_Administration_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Aviation Maintenance Management,AS,Course List,Aviation_Maintenance_Management_Course_list_2025.pdf,N/A (existing file),Already Exists
Aviation Maintenance Management,AS,Course Sequence,Aviation_Maintenance_Management_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Biomedical Engineering Technology,AS,Course List,Biomedical_Engineering_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Biomedical Engineering Technology,AS,Course Sequence,Biomedical_Engineering_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Biotechnology - Bioinformatics,AS,Course List,Biotechnology_-_Bioinformatics_Course_list_2025.pdf,N/A (existing file),Already Exists
Biotechnology - Bioinformatics,AS,Course Sequence,Biotechnology_-_Bioinformatics_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Biotechnology - Chemical Technology,AS,Course List,Biotechnology_-_Chemical_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Biotechnology - Chemical Technology,AS,Course Sequence,Biotechnology_-_Chemical_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Biotechnology,AS,Course List,Biotechnology_Course_list_2025.pdf,N/A (existing file),Already Exists
Biotechnology,AS,Course Sequence,Biotechnology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Building Construction Technology,AS,Course List,Building_Construction_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Building Construction Technology,AS,Course Sequence,Building_Construction_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Business Administration,AS,Course List,Business_Administration_Course_list_2025.pdf,N/A (existing file),Already Exists
Business Administration,AS,Course Sequence,Business_Administration_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Business Intelligence Specialist,AS,Course List,Business_Intelligence_Specialist_Course_list_2025.pdf,N/A (existing file),Already Exists
Business Intelligence Specialist,AS,Course Sequence,Business_Intelligence_Specialist_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Civil Engineering Technology,AS,Course List,Civil_Engineering_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Civil Engineering Technology,AS,Course Sequence,Civil_Engineering_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Clinical Laboratory Science,AS,Course List,Clinical_Laboratory_Science_Course_list_2025.pdf,N/A (existing file),Already Exists
Clinical Laboratory Science,AS,Course Sequence,Clinical_Laboratory_Science_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Computer Crime Investigation,AS,Course List,Computer_Crime_Investigation_Course_list_2025.pdf,N/A (existing file),Already Exists
Computer Crime Investigation,AS,Course Sequence,Computer_Crime_Investigation_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Computer Engineering Technology,AS,Course List,Computer_Engineering_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Computer Engineering Technology,AS,Course Sequence,Computer_Engineering_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Computer Information Technology,AS,Course List,Computer_Information_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Computer Information Technology,AS,Course Sequence,Computer_Information_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Computer Programming and Analysis - Business Application Programming,AS,Course List,Computer_Programming_and_Analysis_-_Business_Application_Programming_Course_list_2025.pdf,N/A (existing file),Already Exists
Computer Programming and Analysis - Business Application Programming,AS,Course Sequence,Computer_Programming_and_Analysis_-_Business_Application_Programming_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Computer Programming and Analysis - Internet of Things IoT Applications,AS,Course List,Computer_Programming_and_Analysis_-_Internet_of_Things_IoT_Applications_Course_list_2025.pdf,N/A (existing file),Already Exists
Computer Programming and Analysis - Internet of Things IoT Applications,AS,Course Sequence,Computer_Programming_and_Analysis_-_Internet_of_Things_IoT_Applications_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
